번호,카테고리,질문,답변
1,배송일정,주문한 상품은 언제 배송되나요?,"배송 예정일은 마이쿠팡을 통해 직접 확인할 수 있습니다.
 배송현황 확인하기
마이쿠팡 → 주문목록 → 상품선택 → 배송조회
 배송조회 후 상단 ‘자세히 보기’를 클릭하면 시간대 별 배송현황을 확인할 수 있습니다. 배송 메시지는 모바일앱 홈 오른쪽 상단 알림센터에서도 확인이 가능합니다.
 배송 예정일은 판매자 및 배송지에 따라 차이가 있으며, 도서산간 지역 등은 3~5일 더 소요될 수 있습니다. 악천후, 천재지변, 물량 수급 변동, 명절 연휴 등 예외적인 사유가 발생하면 다소 지연될 수 있는 점 양해 부탁드립니다."
2,회수,교환/반품 접수 후 상품은 언제 가져가나요?,"접수한 상품의 회수 예정일은 쿠팡 모바일 앱 [마이쿠팡] 메인 화면에서 확인할 수 있습니다. 
 회수 예정일은 각 상품 유형에 따라 다르므로 마이쿠팡에서 직접 확인해 주세요.
 ※ 악천후, 명절 연휴, 택배사 휴무, 물량 증가 등 예외적인 사유 발생 시 일부 지역에서는 회수가 중단 또는 지연될 수 있습니다. 
 반품 접수 후 회수 일정 안내 (클릭)"
3,배송,배송 상태가 멈춰 있어요.,"악천후, 천재지변, 주문량 증가, 출고작업 지연, 명절 연휴 등 예외적인 사유 발생 시 배송 예정일보다 배송이 다소 지연될 수 있습니다. 상품 유형별 배송지연 사유 확인 및 처리 방법에 대해서는 다음을 참고해 주시기 바랍니다. 
 로켓배송 상품 (클릭)
 로켓직구 상품 (클릭)
 판매자 배송 상품 (클릭)"
4,거래명세서,거래명세서(거래내역서)는 어디에서 받을 수 있나요?,"거래명세서(거래내역서)는 마이쿠팡 주문목록에서 고객님께서 직접 발급받을 수 있습니다. 단, 거래명세서 확인 및 출력은 PC 웹사이트에서만 가능합니다. (모바일에서는 확인 불가)
 거래명세서 출력하기 (PC 웹사이트)
① 마이쿠팡 → MY쇼핑 → [주문목록/배송조회] 이동
② 해당 상품에서 [주문 상세보기] 클릭
③ 하단의 ‘결제영수증 정보’에서 [거래명세서] 클릭
④ ‘공급받는자’ 부분에 정보 직접 입력 (사업자등록번호, 상호명, 성명, 사업장주소, 업태, 종목)
⑤ 우측 상단에 [출력] 클릭"
5,영수증,현금영수증 또는 신용카드 매출전표는 어떻게 받나요?,"상품을 구매하면 영수증/매출전표는 자동으로 발급됩니다. 단, PC 웹사이트에서는 개별 확인, 일괄 확인, 출력까지 모두 가능하나, 모바일에서는 각 주문 개별로만 확인할 수 있습니다.
 • 대금 결제 후 (대금 송금 후) 24시간 이후부터 영수증 조회 및 출력이 가능합니다.
• 직구 상품은 판매자가 해외에 사업장을 가지고 있어 해외의 법을 적용받아 현금영수증을 발행하지 않습니다.
 영수증 확인 및 출력하기 (클릭)
 이미지로 확인하기 (클릭)
 현금영수증 신청하기 (클릭)
 현금영수증 소득공제 혜택을 위한 정보 (클릭)"
6,교환/반품,상품을 교환/반품하고 싶어요.,"교환 및 반품은 사용하지 않은 상품에 한하여 가능하며, 고객님께서 마이쿠팡을 통해 직접 쉽고 빠르게 교환/반품을 신청할 수 있습니다. 상품을 회수한 후 검수 단계에서 문제가 발견되면 고객님께 연락을 드릴 수 있습니다. 교환은 기본적으로 구매 상품과 동일한 상품으로만 가능합니다. 색상 및 사이즈 변경을 원하시면 반품 후 재구매를 해 주시기 바랍니다. 
 교환/반품 신청하기 
마이쿠팡 → 주문목록 → 상품선택 → [교환, 반품 신청] 선택 
이후 각 단계에 해당하는 항목을 선택하여 신청을 완료합니다.
 회수/배송/비용 안내 (클릭)









 교환/반품 가능 기간 (클릭)







 판매자 정보 확인하기 (클릭)"
7,와우 멤버십,와우 멤버십을 해지하고 싶어요.,"와우 멤버십 해지하기
마이쿠팡 → 와우 멤버십 → 해지하기
 참고사항
• 와우 멤버십은 언제든지 해지 및 재가입이 가능합니다.
• 은행 서비스 점검 시간에는 쿠페이 결제, 취소 및 와우 멤버십 해지가 가능하지 않습니다.
• 쿠팡플레이 패스(Pass) 회원의 경우, 와우 멤버십을 해지하려면 먼저 패스(Pass) 구독을 해지해야 합니다. 패스(Pass) 구독 해지는 쿠팡에서 와우 멤버십을 해지하며 함께 해지하거나, 쿠팡플레이 앱에서 별도로 해지할 수 있습니다. 
 와우 멤버십 해지 후 환불 안내 (더보기)"
8,환급,으뜸효율 가전제품 환급이 무엇인가요?,"만 19세 이상 대한민국 국민이 TV, 냉장고, 세탁기 등 11개 품목의 최상위 에너지 효율 등급 가전제품을 구매할 경우, 구매비용의 10%를 환급해 드리는 사업입니다. 단, 개인별 최대 환급 한도는 30만원입니다. 자세한 내용은 [으뜸효율 환급사업 홈페이지]를 참고하시거나, [으뜸효율 고객센터]로 문의해 주세요.
 으뜸효율 홈페이지
https://www.xn--qg2b751axbz09f.kr/kr/home/
 으뜸효율 고객센터
1566-4984 (평일 9~18시 운영, 주말 및 공휴일 휴무)
 • 환급 대상: 2025년 7월 4일 이후 구매한 제품
• 신청 기간: 2025년 8월 13일부터 예산 소진 시까지
• 필요 서류: 
① 에너지 소비효을 등급라벨 사진 
② 제조번호(시리얼번호)와 모델명이 기재된 명판 사진 
③ 거래내역서(구매내역서) : 구매자 성명, 모델명, 품목 등
④ 결제영수증 : 거래금액, 거래일시, 승인번호, 판매처 정보
 거래명세서(거래내역서) 출력하기 (PC 웹사이트에서만 가능)
① 마이쿠팡 → MY쇼핑 → [주문목록/배송조회] 이동
② 해당 상품에서 [주문 상세보기] 클릭
③ 하단의 ‘결제영수증 정보’에서 [거래명세서] 클릭
④ ‘공급받는자’ 부분에 정보 직접 입력 및 수정 가능
(사업자등록번호, 상호명, 성명, 사업장주소, 업태, 종목)
⑤ 우측 상단에 [출력] 클릭
 참고사항
• 분할 거래명세서 발행 : 하나의 주문번호로 으뜸효율 대상 상품을 여러 개 구매하신 경우, 거래명세서에서 각 상품의 거래금액과 총 할인금액을 확인하실 수 있습니다. 분할된 거래명세서 발급이 필요하신 경우, 쿠팡 고객센터(1577-7011)로 연락해 주시기 바랍니다.
• 제품의 명판 사진 확인이 어려우신 경우, 해당 제조사에 문의하셔서 확인해 주시기 바랍니다."
9,주문,쿠팡에서 민생회복 지원금(소비쿠폰)을 사용할 수 있나요?,"아니요, 쿠팡은 민생회복 지원금(소비쿠폰) 사용처에 포함되지 않아 사용할 수 없습니다.
 온라인 쇼핑몰은 지원금 사용 대상에서 제외입니다."
10,쿠팡 와우카드,쿠팡 와우카드 연회비는 얼마인가요?,"쿠팡 와우카드의 연회비는 2만원입니다.
 단, 일부 고객은 KB국민카드 정책에 따라 연회비 금액이 다르게 적용될 수 있습니다.
 쿠팡 와우카드 전담센터(쿠팡페이 고객센터) : ☎1670-9892 (365일, 24시간 운영)"
