은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,대출,계좌간 자동이체 약관,0,약관 전문,"계좌간 자동이체약관을 승인하며, 아래와 같이 자동이체를 신청합니다.
연결계좌번
이체한
계좌간 자동이체 약관"
KB_bank,대출,계좌간 자동이체 약관,1,자동이체 방법,"이체합니다. 다만, 입금계좌가 퇴직연금인 경우에는 18시 전 입금분에 한해 입금계좌로 이체합니다.
② 지정일이 영업일이 아닌 때는 그 다음 영업일에 이체합니다. 다만, 정기예금 및 신탁 월지급 이자는 그 전 영업일에 이체합니다.
③ 통장자동대출 약정을 체결한 경우에는 대출금액을 포함하여 이체합니다. 다만, 고객이 따로 요청하는 경우에는 예금잔액 이내에서만 이체할 수 있습니다."
KB_bank,대출,계좌간 자동이체 약관,2,지급자금 부족 때의 처리,"다만, 이체주기를 매 영업일로 정하는 경우 해당 이체 지정일에 출금계좌의 지급자금이 이체금액에 미달하면 부족자금이 채워지는 날에도 이체되지 않습니다.
② 제1항에도 불구하고, 입금계좌가 대출계좌, 집합투자기구(펀드), 퇴직연금인 경우에는 별도로 정한 바에 따릅니다."
KB_bank,대출,계좌간 자동이체 약관,6,이체일 및 이체금액 미지정때 처리,발생했을 때 이체합니다.
KB_bank,대출,계좌간 자동이체 약관,7,은행의 자동이체 임의해지,"것으로 봅니다. 다만, 입금계좌가 퇴직연금인 경우 6개월이상 이체되지 않더라도 등록을 해지한 것으로 보지 않습니다."
KB_bank,대출,계좌간 자동이체 약관,8,외화계좌 자동이체 적용환율,"② 제1항의 원화계좌는 입출금이자유로운예금을 말하며, 외화계좌는 외화예금, 외화로 거래하는 집합투자기구(펀드) 또는 외국집합투자기구(역외펀드) 계좌를 말합니다."
KB_bank,대출,계좌간 자동이체 약관,9,집합투자기구(펀드) 자동이체 처리,"(펀드)별 규약에서 정한 판매가격(매입기준가격)적용일에 입금계좌로 이체합니다. 다만, 외국집합투자기구(역외펀드)에 투자하기 위하여 해외로 송금하는 경우 별도의 신탁
계정에 예치하지 않고 입금계좌로 이체할 수 있습니다.
② 이체지정일에 출금계좌의 지급자금이 이체금액에 미달하는 경우에는 해당월의 자동이체 처리가 불가합니다.
③  단기금융집합투자기구(MMF)가 지급계좌일 경우에는 이체금액을 별도로 신탁계정에 예치하지 않고 이체금액만큼 지급정지되며, 각각의 집합투자규약에서 정한 매입기준
가격 적용일에 출금하여 입금계좌로 이체합니다."
KB_bank,대출,계좌간 자동이체 약관,10,대출계좌 자동이체 처리,"②  이체 지정일에 출금계좌의 출금가능금액이 이체금액에 부족할 경우 약정납입일 전일까지는 부족한 금액이 채워지는 날 이체됩니다. 다만, 약정납입일 부터는 영업시간 마
감 이후 상환방법에 따라 다음과 같이 처리합니다.
1. 일시상환은 출금계좌의 출금가능금액 이내에서 약정이자를 일단위로 이체합니다.
2. 분할상환은 출금계좌의 출금가능금액이 1천원 이상일 경우 할부금을 원단위로 이체합니다.
3. 제1호 및 제2호에도 불구하고 협약대출, 정책자금, 파생연계상품 등은 제2조 본문에 따라 처리합니다.
③ 납부할 할부금의 일부 금액이 이체되는 경우 연체기준일은 변경되지 않습니다."
KB_bank,대출,계좌간 자동이체 약관,12,계좌이동서비스,"② 은행은 자동이체 통합관리시스템(www.payinfo.or.kr)에 자동이체 등록정보를 제공하여 조회 및 해지, 출금계좌 변경신청이 가능하도록 합니다.
③ 거래처는 은행 지점, 인터넷뱅킹(모바일뱅킹 포함), 자동이체 통합관리시스템(www.payinfo.or.kr), 애플리케이션 에서 계좌이동서비스를 신청할 수 있습니다.
④  거래처가 은행 지점, 인터넷뱅킹(모바일뱅킹 포함), 자동이체 통합관리시스템(www.payinfo.or.kr), 애플리케이션에서 자동이체 출금계좌를 당행계좌로 변경 신청할 경
우 다른 금융기관 출금계좌에 등록되어 있는 자동이체 해지 후, 당행 출금계좌로 신규 등록 됩니다."
KB_bank,대출,계좌간 자동이체 약관,14,준용,"② 이 약관과 전자금융거래 기본약관에 정하지 아니한 사항은 예금거래기본약관, 입출금이자유로운예금약관, 관련예금 및 신탁약관을 준용합니다."
