은행,상품종류,상품이름,조항,조항이름,조항내용
KB_bank,예/적금,KB공무원연금평생안심통장_특약,1,약관의 적용,"KB공무원연금평생안심통장(이하 “이 통장”이라 합니다)거래는 이 특약을 적용하고, 이 특약에서
정하지 않은 사항에 대해서는 입출금이자유로운약관, 예금거래기본약관을 순서대로 적용합니다."
KB_bank,예/적금,KB공무원연금평생안심통장_특약,2,예금과목,이 통장의 예금과목은 저축예금으로 합니다.
KB_bank,예/적금,KB공무원연금평생안심통장_특약,3,가입대상,이 통장의 가입대상은 실명의 개인으로서 공무원연금을 수령하는 고객으로 합니다.
KB_bank,예/적금,KB공무원연금평생안심통장_특약,4,입금제한,"① 이 통장은 공무원연금공단에서 입금하는 공무원연금 급여로 입금자원이 제한되며, 공무원연금
급여 이외의 자금은 입금 할 수 없습니다.
② 이 통장으로의 입금은 공무원연금법 제 32조, 동법 시행령 제 25조, 민사집행법 시행령"
KB_bank,예/적금,KB공무원연금평생안심통장_특약,2,이하 “관련 법”이라 합니다,"입금 건당 금액을 제한합니다. 단, 통장의 잔액은 금액에 제한 없이 유지가 가능하며 입금
제한에 영향을 미치지 않습니다.
③ 이 통장으로 매월 수령하는 공무원연금 급여액이 관련 법에서 정하는 압류금지 대상금액을
초과하는 경우 압류금지 대상금액 까지만 이 통장으로 입금되므로 압류금지 대상금액을 초과한
금액은 입금이 제한되지 않는 별도의 통장으로 수령해야 합니다."
KB_bank,예/적금,KB공무원연금평생안심통장_특약,5,거래제한,"① 이 통장은 관련 법에 따라 입금된 예금과 이에 관한 채권을 압류할 수 없고, 압류에 의한
지급제한이 되지 않습니다.
② 이 통장은 은행이 상계할 수 없습니다
③ 이 통장은 양도 및 담보제공 할 수 없습니다
④ 이 통장은 통장자동대출계좌로 사용할 수 없습니다.
⑤ 이 통장을 신용카드 결제계좌나 공과금 등 대금납부 목적의 계좌로 지정한 경우에 결제ㆍ납부
금액이 부족하거나 결제ㆍ납부 취소 등이 발생한 때에는 제4조에 따라 고객이 영업점
창구에서 결제ㆍ납부금액을 직접 납부하거나 별도 지정계좌로 입금 또는 직접 수령하는
방법으로 처리하여야 합니다.
⑥ 인터넷뱅킹을 통한 예·부적금 신규시 모계좌로 출금 등록 할 수 없습니다.
⑦ 다른 입출금이자유로운예금에서 이 통장으로 전환 및 이 통장에서 다른 입출금이자유로운예금으로
전환 할 수 없습니다."
KB_bank,예/적금,KB공무원연금평생안심통장_특약,6,적용이율,"① 이 통장의 이율은 결산일 현재 영업점에 고시된 저축예금 기본이율을 적용합니다.
② 이 통장의 적용이율은 변경될 수 있으며, 이율 변경시에는 변경일로부터 바뀐 이자가 적용
됩니다."
KB_bank,예/적금,KB공무원연금평생안심통장_특약,7,세제혜택,이 통장은 비과세종합저축으로 가입할 수 있습니다.
KB_bank,예/적금,KB공무원연금평생안심통장_특약,8,수수료면제,"이 통장에서 정한 수수료면제 조건에 따라 기본수수료면제 서비스 및 특별수수료면제 서비스가
제공됩니다. 실적 발생 및 수수료면제는 이 통장 기준이며, 수수료면제 잔여횟수는 이월되지
않습니다.
① 기본수수료면제
1. 면제기준 : 전월 중 이 통장에 공무원연금 급여 입금실적이 있는 경우
2. 면제대상 수수료 및 면제횟수
3. 면제기간 : 이번달 11일부터 다음달 10일까지
② 특별수수료면제
1. 면제기준 : 전월말 기준 이 통장의 3개월 예금 평균잔액이 50만원 이상일 경우
2. 면제대상 수수료 및 면제횟수
- 다른은행 자동화기기를 이용한 출금수수료(월 5회)
3. 면제기간 : 이번달 11일부터 다음달 10일까지
③ 이 통장의 신규시에는 이체실적에 관계 없이 신규일로부터 다음 다음 달 10일까지 제1항의
수수료를 면제합니다."
KB_bank,예/적금,KB공무원연금평생안심통장_특약,9,환율우대,"전월 중 이 통장에 공무원연금 급여 입금실적이 있는 경우 KB국민은행 영업점 창구에서
외국통화매매시 현찰매매마진율의 50%를 우대합니다."
